usa,china
223,119
223,119
224,119
224,119
225,119
225,119
225,119
225,119
225,119
225,119
226,119
226,119
226,119
227,119
227,119
227,119
227,120
227,120
227,120
227,120
227,120
228,120
228,120
228,120
228,120
228,120
229,120
230,120
231,120
231,120
231,120
231,120
231,120
231,120
231,120
231,120
231,120
232,120
232,120
233,120
234,120
235,120
235,120
235,121
235,121
235,122
235,122
235,123
235,123
235,123
235,123
235,123
236,123
236,123
236,123
236,123
236,123
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
236,124
237,124
237,124
238,124
238,124
238,124
238,124
238,124
238,124
238,124
238,124
238,124
238,125
239,125
239,125
239,125
240,125
240,125
240,125
240,125
241,125
241,125
241,125
242,125
242,125
242,125
243,125
244,125
244,125
245,125
245,125
245,126
246,126
246,126
246,127
246,127
247,127
248,127
248,128
248,128
248,128
248,128
248,128
249,128
249,128
249,128
249,128
249,128
250,128
250,128
251,128
251,129
251,129
251,129
251,129
251,129
251,130
252,130
252,131
252,131
252,131
252,131
252,131
252,131
252,131
252,132
252,132
252,133
253,133
253,133
253,133
253,133
253,133
253,134
253,134
254,134
254,134
255,134
255,134
255,134
255,134
255,134
256,134
256,134
256,135
256,136
257,136
258,136
258,136
258,136
258,137
258,137
258,137
258,138
258,138
258,138
258,139
258,139
258,140
259,140
259,140
259,140
259,140
259,140
259,140
259,140
259,140
259,140
259,141
259,141
260,141
260,141
260,141
260,141
260,142
260,142
261,142
262,142
262,143
263,143
263,144
263,144
263,144
264,144
264,144
264,144
264,144
264,144
265,144
265,144
265,144
265,144
265,144
265,144
265,144
266,144
266,145
266,146
266,146
266,146
267,146
267,146
268,146
268,147
268,147
268,147
268,147
268,147
268,147
268,147
268,147
269,147
269,148
269,148
270,148
270,148
271,148
271,148
271,148
272,148
272,148
272,148
272,149
272,149
272,150
272,151
272,151
272,151
272,151
272,151
272,151
272,151
272,151
272,151
272,151
272,152
272,152
272,152
273,152
273,152
273,152
274,152
274,152
274,152
275,152
275,152
276,152
277,152
278,152
278,152
278,152
278,152
278,152
278,153
278,153
278,153
278,153
278,153
279,153
279,153
279,153
279,153
279,153
279,153
279,154
279,154
279,154
279,154
279,154
280,154
280,154
281,154
281,155
281,155
281,155
281,155
282,155
282,155
282,155
282,155
282,155
282,155
282,155
282,155
282,155
283,155
283,156
283,156
284,156
285,156
285,156
285,156
286,156
287,156
287,156
287,157
287,157
287,157
287,157
288,157
288,157
288,158
288,158
288,158
289,158
289,158
289,158
289,158
289,159
289,159
289,159
289,159
289,159
289,160
290,160
290,160
290,160
290,160
291,160
291,160
292,160
292,160
292,160
292,160
292,160
292,160
292,160
293,160
293,160
293,160
293,160
293,160
293,160
294,160
294,160
294,161
294,161
294,162
294,162
294,163
294,163
294,163
294,164
295,164
295,164
296,164
297,164
297,164
297,164
297,165
298,165
299,165
299,165
299,165
299,165
299,165
299,166
299,166
300,166
300,166
301,166
301,166
301,166
302,166
302,166
302,167
303,167
304,167
304,167
305,167
305,167
305,167
305,167
305,168
305,168
305,168
305,168
306,168
306,168
306,168
306,168
306,168
306,168
306,168
307,168
308,168
308,168
308,169
308,169
308,169
308,169
308,169
308,169
308,170
309,170
309,170
310,170
310,170
310,170
310,170
310,170
311,170
311,170
312,170
312,170
312,170
312,170
312,170
312,171
312,171
312,171
312,171
312,171
312,171
313,171
314,171
315,171
315,171
315,171
315,171
315,171
315,171
315,171
315,171
315,171
315,171
315,171
315,172
315,172
315,173
315,173
315,173
315,173
315,174
316,174
317,174
317,174
318,174
319,174
319,174
319,174
320,174
320,174
320,174
320,174
320,174
320,174
320,175
320,175
320,175
321,175
321,175
321,175
321,175
321,176
321,177
322,177
323,177
324,177
324,177
324,178
324,179
324,179
324,179
324,179
325,179
326,179
326,179
326,179
327,179
327,179
328,179
328,179
328,179
328,179
328,179
328,179
329,179
329,179
329,180
329,180
329,180
330,180
330,180
330,180
331,180
331,180
331,180
331,180
331,181
331,181
331,181
331,181
332,181
332,181
333,181
333,181
334,181
334,182
334,182
334,182
334,182
334,182
334,183
334,183
334,183
334,183
334,183
335,183
335,183
335,183
336,183
337,183
338,183
338,183
339,183
339,183
339,183
339,183
340,183
340,183
340,183
340,183
340,183
341,183
341,183
341,184
342,184
342,184
342,184
342,184
342,184
342,184
342,185
342,186
342,186
343,186
343,186
343,186
343,187
343,187
343,187
343,188
344,188
344,188
345,188
345,188
345,188
345,189
345,189
345,189
345,189
345,189
345,189
346,189
346,189
346,189
346,189
346,190
346,190
346,190
346,190
346,190
347,190
348,190
348,190
348,190
348,190
348,190
348,191
349,191
349,191
349,191
349,192
349,192
349,192
350,192
350,192
351,192
352,192
352,192
352,192
352,192
352,192
352,192
352,192
352,193
352,193
352,193
352,193
353,193
354,193
354,193
354,193
355,193
356,193
357,193
357,193
358,193
358,193
358,193
358,193
358,193
358,193
358,194
358,194
358,195
358,195
358,195
358,195
358,195
359,195
359,195
359,195
360,195
360,195
360,196
360,196
360,196
360,196
360,196
361,196
361,196
361,196
361,197
362,197
363,197
363,198
363,198
363,199
363,199
363,199
363,199
364,199
365,199
365,199
365,199
365,199
365,199
365,200
366,200
366,200
366,200
366,200
366,200
366,201
366,201
366,201
366,201
367,201
367,201
368,201
369,201
369,202
370,202
370,202
370,202
370,202
370,202
371,202
372,202
373,202
373,202
373,202
374,202
374,202
374,202
374,202
374,202
374,202
374,202
374,202
374,203
374,203
374,203
375,203
375,203
375,204
375,205
375,205
376,205
376,205
376,205
376,205
376,206
376,206
376,207
376,208
377,208
377,209
377,209
377,209
377,209
377,209
377,209
377,209
377,209
377,209
378,209
378,209
378,210
379,210
380,210
380,210
380,210
380,210
381,210
381,210
381,210
381,210
381,210
381,210
381,210
381,210
382,210
382,210
382,211
382,211
382,211
382,211
382,211
383,211
383,212
383,212
383,212
383,212
383,212
384,212
384,212
385,212
385,212
385,212
385,213
385,213
385,213
386,213
386,213
386,213
387,213
387,213
387,213
387,213
387,213
387,213
387,214
387,214
387,214
387,214
387,214
387,214
387,214
387,214
388,214
389,214
389,214
389,214
389,214
389,214
389,214
389,214
389,214
389,214
389,214
390,214
390,214
390,214
390,214
390,214
390,214
390,214
390,214
391,214
391,214
391,215
391,216
392,216
392,216
392,216
392,216
392,216
393,216
393,216
393,216
393,216
394,216
395,216
396,216
396,216
396,216
396,216
396,217
396,217
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,218
396,219
396,219
396,219
397,219
397,219
397,219
397,220
397,220
397,220
397,220
397,220
397,220
397,220
397,220
397,220
397,220
398,220
398,221
399,221
399,221
399,221
400,221
400,221
400,222
400,222
400,222
400,222
400,222
400,222
400,222
400,222
400,223
400,223
401,223
402,223
402,223
402,223
402,223
402,224
402,224
402,225
402,225
403,225
403,225
404,225
404,225
404,225
404,225
404,225
404,225
404,225
404,225
404,225
405,225
405,226
405,226
405,226
405,226
405,227
405,227
405,228
405,228
405,228
405,228
405,228
406,228
406,228
406,228
406,228
406,228
406,228
406,228
406,229
407,229
407,229
408,229
408,229
409,229
409,229
409,229
410,229
410,229
410,229
410,229
410,229
410,229
410,230
410,230
410,230
410,230
411,230
411,230
411,230
411,230
411,230
412,230
412,230
412,230
412,230
412,230
412,230
412,230
412,230
412,231
412,232
412,232
412,232
412,232
412,232
412,233
413,233
414,233
414,234
414,234
414,234
415,234
415,234
416,234
416,235
416,235
417,235
418,235
418,235
418,235
418,235
418,235
418,235
419,235
419,236
419,236
420,236
420,236
420,236
421,236
422,236
422,236
422,236
422,236
422,236
422,237
423,237
424,237
424,238
424,238
425,238
426,238
427,238
427,238
427,238
427,238
427,238
427,238
427,238
427,238
427,239
427,240
427,240
427,241
427,242
427,242
427,242
427,242
427,243
427,243
427,243
428,243
428,244
428,244
428,244
428,244
428,244
429,244
429,244
429,244
429,245
429,245
429,245
429,245
429,245
429,245
429,245
429,245
429,245
430,245
430,245
430,245
430,245
430,245
430,245
430,245
430,245
430,245
430,245
430,245
430,245
431,245
431,246
431,246
431,246
431,246
431,246
431,246
431,246
431,247
431,247
431,247
431,247
431,247
431,247
431,247
431,247
431,247
431,247
431,248
432,248
432,248
433,248
433,249
433,249
433,249
433,249
433,249
433,249
433,249
433,249
434,249
434,249
434,249
434,249
435,249
435,250
435,250
435,250
435,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
436,251
437,251
437,251
438,251
438,251
438,251
438,251
438,251
438,251
438,251
438,251
439,251
439,251
439,251
439,251
439,252
439,252
439,252
439,253
439,253
439,254
439,254
440,254
440,255
441,255
441,255
441,256
442,256
443,256
443,257
444,257
444,258
444,259
444,259
444,259
444,259
444,259
445,259
445,259
445,260
446,260
446,260
446,260
446,260
447,260
447,260
447,260
448,260
448,260
448,261
448,262
448,262
448,262
448,262
448,262
448,262
448,262
448,262
448,262
449,262
449,262
449,262
449,262
450,262
450,263
450,263
450,263
450,263
450,263
450,263
450,263
450,263
450,263
451,263
451,263
451,264
451,264
451,264
451,265
452,265
452,265
453,265
454,265
455,265
456,265
456,265
456,265
456,266
456,266
456,266
456,266
456,266
456,267
456,267
456,267
456,267
456,267
456,267
457,267
457,268
457,268
457,268
457,268
457,269
458,269
458,269
458,270
458,271
459,271
459,271
459,271
460,271
460,272
460,272
460,272
460,272
460,272
461,272
461,272
461,272
461,272
461,273
461,273
461,273
461,273
461,273
461,273
461,273
461,273
461,273
461,273
461,273
462,273
463,273
463,273
463,273
463,273
463,273
463,273
463,273
463,273
464,273
464,274
464,274
464,274
464,274
464,274
464,274
465,274
466,274
467,274
468,274
468,275
468,275
468,275
468,275
468,275
468,276
468,276
469,276
469,276
469,276
469,276
470,276
470,276
471,276
471,276
471,276
471,276
471,277
472,277
472,277
472,277
473,277
473,277
473,277
473,277
473,277
473,277
473,278
473,279
473,279
473,279
473,280
474,280
474,280
475,280
475,280
476,280
477,280
478,280
478,280
478,281
478,282
478,282
479,282
479,282
479,282
479,282
480,282
480,283
480,283
480,283
480,284
480,284
481,284
481,284
481,285
481,285
481,285
482,285
482,285
482,285
482,285
482,285
482,285
483,285
483,285
483,285
484,285
484,285
484,285
485,285
486,285
487,285
487,285
487,285
488,285
488,285
488,285
488,285
488,285
488,285
488,285
488,285
489,285
489,285
489,285
489,285
489,285
489,285
489,285
489,285
490,285
490,285
490,285
490,285
490,285
490,285
490,285
490,286
490,286
491,286
491,286
491,286
491,286
492,286
492,286
493,286
494,286
495,286
495,286
496,286
497,286
497,286
498,286
498,286
498,286
499,286
499,287
500,287
500,287
500,287
500,288
500,288
501,288
501,288
501,288
501,288
502,288
503,288
504,288
504,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
505,288
506,288
506,288
506,289
507,289
507,289
507,290
507,290
507,290
507,290
508,290
508,290
508,290
508,290
508,290
508,290
508,290
508,291
508,291
509,291
510,291
511,291
511,291
511,291
511,291
511,291
511,291
511,291
511,291
511,291
511,291
511,291
511,292
512,292
512,292
513,292
513,293
513,293
514,293
514,293
514,293
514,293
514,293
514,294
514,294
514,294
514,295
515,295
515,295
515,295
515,295
515,295
515,295
515,295
515,295
515,295
515,295
516,295
517,295
517,296
517,296
517,296
517,296
517,297
517,297
518,297
519,297
519,297
519,297
519,297
519,297
520,297
520,297
520,298
521,298
521,298
521,298
521,298
521,299
521,299
521,299
521,299
522,299
522,300
523,300
523,300
523,301
524,301
525,301
525,301
525,302
526,302
527,302
527,302
528,302
528,302
528,302
528,302
528,302
529,302
529,303
529,303
529,303
529,303
530,303
531,303
531,303
531,303
531,303
531,303
531,304
531,304
531,304
531,304
531,304
531,304
531,304
531,304
532,304
532,304
532,305
532,305
532,306
533,306
533,306
534,306
535,306
536,306
536,306
536,306
536,306
536,306
537,306
537,306
538,306
539,306
539,306
539,306
539,307
539,307
539,307
539,307
539,307
539,307
539,307
540,307
541,307
541,307
541,307
541,307
541,307
541,307
541,307
541,307
541,307
542,307
542,307
542,307
543,307
543,308
543,309
543,309
543,309
543,309
544,309
544,309
545,309
545,309
545,309
545,309
546,309
546,309
546,310
546,310
547,310
547,311
547,312
547,312
547,312
547,312
548,312
549,312
549,312
549,312
549,312
550,312
551,312
551,312
551,312
551,312
551,312
551,313
551,313
551,314
552,314
552,314
552,315
552,316
552,316
552,316
552,317
552,317
552,317
552,317
552,317
553,317
553,317
553,317
553,317
553,317
553,317
553,317
553,317
553,318
553,318
553,318
553,319
553,319
553,319
553,319
553,320
553,320
554,320
554,320
554,320
554,320
555,320
555,320
555,320
556,320
556,321
556,322
556,322
556,322
556,322
556,322
556,322
556,323
556,323
556,323
557,323
557,323
557,323
557,324
558,324
558,324
558,325
558,325
558,325
559,325
559,325
559,325
560,325
560,325
560,325
560,325
560,325
560,325
560,325
561,325
561,325
561,325
561,325
561,325
562,325
563,325
563,325
563,325
563,325
563,325
563,325
564,325
565,325
565,325
565,326
566,326
566,327
566,327
566,327
566,327
566,327
567,327
567,327
567,327
568,327
568,328
568,328
568,328
568,328
568,329
569,329
570,329
571,329
571,329
571,329
571,329
571,329
571,330
571,331
571,331
571,331
571,331
572,331
573,331
573,331
574,331
575,331
575,332
575,332
575,332
575,332
575,332
575,332
575,332
575,332
575,332
575,332
575,332
576,332
576,332
576,332
576,332
576,333
576,333
576,333
576,333
576,333
576,333
576,334
576,334
576,334
576,334
576,334
576,335
576,335
576,335
577,335
577,335
577,335
577,335
577,335
577,335
577,335
578,335
578,335
578,336
579,336
579,336
579,337
579,337
580,337
580,337
580,337
580,337
580,338
581,338
581,339
581,339
581,339
581,339
581,339
582,339
583,339
583,339
583,339
583,339
583,339
583,339
583,339
583,339
584,339
584,339
585,339
585,339
585,340
585,340
585,340
585,340
586,340
587,340
587,340
587,340
587,341
587,341
587,341
587,341
588,341
588,341
588,342
588,343
589,343
589,343
589,343
589,343
589,343
589,343
589,343
589,343
590,343
590,343
591,343
592,343
592,343
593,343
593,343
593,343
593,343
593,343
594,343
594,343
594,343
594,343
594,343
594,344
594,344
594,344
594,345
594,345
594,345
594,345
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
594,346
595,346
596,346
596,346
597,346
598,346
599,346
599,346
599,346
599,346
599,346
599,346
599,346
599,346
599,347
600,347
600,347
600,348
600,348
601,348
601,348
601,348
602,348
602,348
602,348
602,348
602,348
602,348
602,348
602,348
603,348
603,349
603,350
603,350
603,350
604,350
605,350
605,350
605,350
605,350
605,350
605,350
605,350
605,350
605,350
606,350
606,350
606,350
606,350
607,350
607,350
607,351
607,351
607,351
607,351
